tiempo,Gamma,masa_relativa,kappa,dGamma_dt
0.0,0.5,0.3333333333333333,0.1967346701436833,0.3892303407434632
0.02001000500250125,0.507788501065402,0.33677700864981996,0.19908747817087608,0.39131987522582
0.0400200100050025,0.5156606253216937,0.34022169389816176,0.20144699952532935,0.39550328181116257
0.060030015007503754,0.523616546360496,0.34366688102152276,0.20381283992416127,0.3996947818842358
0.080040020010005,0.5316564144916481,0.3471120608130011,0.20618459854428267,0.4038932084163349
0.10005002501250625,0.5397803566022703,0.3505567234234416,0.208561868380991,0.40809738951559815
0.12006003001500751,0.5479884761030778,0.3540003588932326,0.21094423663511164,0.4123061090192408
0.14007003501750875,0.556280851210344,0.3574424569817945,0.2133312846247235,0.4165181437570791
0.16008004002001,0.5646575363835011,0.3608825083146516,0.21572258861915278,0.4207322475649722
0.18009004502251125,0.5731185599673213,0.364320003941233,0.2181177195826895,0.4249470849203707
0.2001000500250125,0.581663922973611,0.3677544353923508,0.22051624327045638,0.4291612898583139
0.22011005502751374,0.5902935990812108,0.371185295232435,0.2229177206788483,0.43337349641384293
0.24012006003001501,0.5990075346359959,0.37461207759246506,0.2253217084950243,0.4375823386219917
0.26013006503251623,0.6078056486508753,0.37803427868342837,0.22772775954499103,0.44178644539895906
0.2801400700350175,0.6166878326009367,0.3814513972117955,0.230135423184538,0.4459843541895676
0.3001500750375187,0.6256539469676163,0.384862933550322,0.23254424482132063,0.4501745818102254
0.32016008004002,0.6347038238689797,0.38826839125314894,0.23495376709723315,0.4543556588763984
0.3401700850425213,0.6438372649816794,0.39166727674156665,0.2373635297929621,0.45852603519395174
0.3601800900450225,0.6530540403849958,0.3950590993582398,0.2397730699988273,0.4626841316842061
0.38019009504752377,0.6623538885608373,0.39844337184681067,0.24218192259617372,0.46682836926848736
0.400200100050025,0.6717365163937398,0.40181961080972606,0.24458962073407758,0.470957168868118
0.42021010505252626,0.681201599170867,0.40518733714435035,0.24699569630087348,0.4750689513435731
0.4402201100550275,0.6907487805795757,0.4085460764566054,0.24939968038940574,0.47916207846398606
0.46023011505752875,0.7003776703450135,0.41189535863694565,0.2518011031704325,0.48323486226589196
