tiempo,Gamma,masa_relativa,kappa,dGamma_dt
0.0,0.001,0.0009990009990009992,0.000499750083312489,0.01073432268810494
0.015007503751875938,0.001161095388015582,0.0011597488090221695,0.0005802107887883934,0.010789317997334104
0.030015007503751877,0.0013238414606503482,0.0013220912214765956,0.0006614827845501936,0.010899863844427649
0.04502251125562781,0.0014882548830959515,0.0014860432719399949,0.0007435739904915195,0.011011525646444004
0.060030015007503754,0.0016543524855561213,0.0016516201236992849,0.0008264923993994144,0.01112431447724347
0.0750375187593797,0.00182215126560451,0.0018188370693366896,0.0009102460779282229,0.011238241489241838
0.09004502251125562,0.0019916683881846904,0.0019877095299489977,0.0009948431663922563,0.011353317834854874
0.10505252626313157,0.002162921185610159,0.002158253054354987,0.001080291878555406,0.011469554767844115
0.12006003001500751,0.0023359271606062247,0.0023304833213186166,0.0011666005029346005,0.011586963693708902
0.13506753376688344,0.0025107039878225317,0.002504416140232084,0.0012537774033352656,0.011705555659407757
0.1500750375187594,0.0026872695015589337,0.0026800674380704857,0.0013418310125080102,0.011825341926325852
0.16508254127063532,0.002865641714475634,0.0028574532771674177,0.0014307698412556191,0.011946334426504127
0.18009004502251125,0.003045838819012784,0.003036589855752712,0.0015206024789078953,0.012068545139279838
0.1950975487743872,0.0032278791873904863,0.003217493507063472,0.0016113375930839613,0.012191986043990133
0.21010505252626313,0.0034117813716087867,0.0034001806984417394,0.001702983929451174,0.01231666911997234
0.2251125562781391,0.003597564103447685,0.0035846680304186746,0.001795550311480043,0.012442606346563662
0.24012006003001501,0.003785246294467126,0.0037709722357850816,0.0018890456401947087,0.012569809908090646
0.25512756378189094,0.00397484704215976,0.003959110184752313,0.0019834788969842476,0.012698292065499134
0.27013506753376687,0.004166385626097915,0.004149098880162348,0.002078859141424083,0.012828064777745701
0.28514257128564285,0.0043598815027224135,0.004340955451345948,0.002175195508418881,0.012959140409491393
0.3001500750375188,0.004555354322730973,0.004534697170373635,0.0022724972165936164,0.01309153191384263
0.3151575787893947,0.004752823931352007,0.004730341451298808,0.0023707735681525177,0.013225252253028202
0.33016508254127064,0.004952310368344625,0.004927905849113833,0.002470033948597794,0.013360314389276873
0.34517258629314657,0.005153833867998636,0.005127408058690707,0.002570287826443751,0.013496731284817376
0.3601800900450225,0.005357414859134542,0.005328865913706117,0.0026715447529260805,0.01363451590187853
0.3751875937968985,0.005563073965103544,0.005532297385550776,0.0027738143617064837,0.013773681475289318
0.3901950975487744,0.005770832011969639,0.005737720590311333,0.002877106372640603,0.013914241223833945
0.40520260130065033,0.005980710019845933,0.005945153779069925,0.0029814305871627145,0.01405620806976865
0.42021010505252626,0.006192729202658042,0.006154615336532372,0.0030867968878589003,0.014199595477806387
0.4352176088044022,0.006406910984662533,0.006366123796183046,0.003193215246359349,0.014344417464575265
0.4502251125562782,0.006623277000494219,0.006579697839126134,0.003300695723034097,0.014490688048278966
0.4652326163081541,0.006841849095166154,0.006795356292862502,0.0034092484666595757,0.014638421247121225
